E_x	E_y	E_z
1.975876	2.929372	0.654028
1.890922	2.871754	0.749737
1.982311	2.805403	0.677638
1.992906	2.954410	0.692311
2.044381	2.832865	0.714693
2.042585	2.740023	0.685172
2.090799	2.746162	0.516659
2.087147	2.785777	0.541921
2.114439	2.847159	0.583898
2.131209	2.755986	0.404499
2.172106	2.784052	0.446078
2.103465	2.559803	0.363366
2.132285	2.538826	0.324563
2.215648	2.589908	0.349086
2.350893	2.514066	0.483995
2.209126	2.491450	0.316729
2.345708	2.390132	0.434462
2.210123	2.258479	0.434549
2.245318	2.307403	0.286468
2.396934	2.126178	0.432132
2.395779	2.111435	0.438521
2.382520	2.067695	0.325824
2.228459	2.078313	0.293111
2.393963	1.976101	0.472787
2.373758	1.914939	0.490450
2.429543	1.907390	0.486736
2.295620	1.884936	0.515665
2.339256	1.755062	0.487107
2.408467	1.744511	0.619785
2.501048	1.568288	0.583429
2.519256	1.644290	0.644804
2.568488	1.642182	0.609645
2.492249	1.528144	0.622353
2.382145	1.588351	0.590319
2.516416	1.464533	0.579297
2.420434	1.227796	0.764973
2.449043	1.301601	0.762277
2.517461	1.271460	0.709537
2.468780	1.422729	0.826027
2.418830	1.345207	0.807560
2.290507	1.309015	1.027670
1.825497	1.311380	1.697761
1.915155	1.292515	1.627386
1.855445	1.281930	1.411975
1.831606	1.239899	1.521997
1.885084	1.191328	1.744165
1.976924	1.159785	1.602906
1.856807	1.152147	1.628087
1.809441	1.095803	1.656935
1.918025	1.118153	1.671697
1.828461	1.198649	1.657951
1.878826	1.218256	1.547171
1.872609	1.176485	1.517029
1.880535	1.086806	1.520998
1.879305	1.197975	1.522287
1.903316	1.270536	1.586378
1.866864	1.164809	1.420928
1.887044	1.252126	1.417614
1.834671	1.270687	1.463340
1.985077	1.292264	1.391316
1.879757	1.363569	1.329516
2.001258	1.266397	1.335450
1.990038	1.450949	1.532214
2.003003	1.400948	1.289562
1.852956	1.511406	1.199533
2.064291	1.519378	1.217490
1.957450	1.735920	1.165479
2.152018	1.713068	1.188288
